State,Year,Month,Period,Indicator,Data Value,Percent Complete,Percent Pending Investigation,State Name,Footnote,Footnote Symbol,Predicted Value
AK,2020,April,12 month-ending,Natural & semi-synthetic opioids (T40.2),30,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,31
AK,2020,April,12 month-ending,Percent with drugs specified,94.16666667,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2020,April,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",74,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,76
AK,2020,April,12 month-ending,Heroin (T40.1),34,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,35
AK,2020,April,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",57,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,59
AK,2020,April,12 month-ending,Methadone (T40.3),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).,**,
AK,2020,April,12 month-ending,Cocaine (T40.5),10,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,11
AK,2020,April,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",36,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,37
AK,2020,April,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",31,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,32
AK,2020,April,12 month-ending,Number of Drug Overdose Deaths,120,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,123
AK,2020,April,12 month-ending,Psychostimulants with abuse potential (T43.6),56,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,58
AK,2020,April,12 month-ending,Number of Deaths,4510,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2020,August,12 month-ending,Heroin (T40.1),39,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,41
AK,2020,August,12 month-ending,Percent with drugs specified,94.24460432,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2020,August,12 month-ending,Number of Deaths,4661,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2020,August,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",98,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,100
AK,2020,August,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",83,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,85
AK,2020,August,12 month-ending,Cocaine (T40.5),13,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,14
AK,2020,August,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",46,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,47
AK,2020,August,12 month-ending,Number of Drug Overdose Deaths,139,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,142
AK,2020,August,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",53,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,55
AK,2020,August,12 month-ending,Methadone (T40.3),10,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,11
AK,2020,August,12 month-ending,Psychostimulants with abuse potential (T43.6),69,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,71
AK,2020,August,12 month-ending,Natural & semi-synthetic opioids (T40.2),38,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,39
AK,2020,December,12 month-ending,Methadone (T40.3),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).,**,
AK,2020,December,12 month-ending,Natural & semi-synthetic opioids (T40.2),37,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,38
AK,2020,December,12 month-ending,Percent with drugs specified,94.52054795,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2020,December,12 month-ending,Psychostimulants with abuse potential (T43.6),67,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,69
AK,2020,December,12 month-ending,Cocaine (T40.5),21,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,22
AK,2020,December,12 month-ending,Number of Deaths,5008,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2020,December,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",61,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,63
AK,2020,December,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",88,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,90
AK,2020,December,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",44,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,45
AK,2020,December,12 month-ending,Heroin (T40.1),31,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,32
AK,2020,December,12 month-ending,Number of Drug Overdose Deaths,146,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,149
AK,2020,December,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",102,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,104
AK,2020,February,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",24,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,25
AK,2020,February,12 month-ending,Heroin (T40.1),36,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,37
AK,2020,February,12 month-ending,Number of Drug Overdose Deaths,125,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,128
AK,2020,February,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",40,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,41
AK,2020,February,12 month-ending,Natural & semi-synthetic opioids (T40.2),34,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,35
AK,2020,February,12 month-ending,Psychostimulants with abuse potential (T43.6),60,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,62
AK,2020,February,12 month-ending,Number of Deaths,4546,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2020,February,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",53,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,55
AK,2020,February,12 month-ending,Percent with drugs specified,95.2,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2020,February,12 month-ending,Cocaine (T40.5),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).,**,
AK,2020,February,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",73,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,75
AK,2020,February,12 month-ending,Methadone (T40.3),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).,**,
AK,2020,January,12 month-ending,Number of Drug Overdose Deaths,134,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,137
AK,2020,January,12 month-ending,Cocaine (T40.5),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).,**,10
AK,2020,January,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",80,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,82
AK,2020,January,12 month-ending,Heroin (T40.1),43,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,45
AK,2020,January,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",24,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,25
AK,2020,January,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",44,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,45
AK,2020,January,12 month-ending,Natural & semi-synthetic opioids (T40.2),38,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,39
AK,2020,January,12 month-ending,Methadone (T40.3),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).,**,
AK,2020,January,12 month-ending,Psychostimulants with abuse potential (T43.6),65,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,67
AK,2020,January,12 month-ending,Number of Deaths,4545,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2020,January,12 month-ending,Percent with drugs specified,95.52238806,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2020,January,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",56,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,58
AK,2020,July,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",44,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,45
